filename,center_x,center_y,radius_x,radius_y
2024_02_11_12_26_IMG_4608 LE MILD NPDR_frame_600.png,813.0,965.0,448.0,448.0
2024_02_12_12_41_IMG_4613 RE MOD NPDR_frame_1192.png,954.0,1008.0,471.0,461.0
2024_02_12_12_47_IMG_4616 LE MOD NPDR_frame_1007.png,967.0,1038.0,478.0,468.0
2024_02_12_14_56_IMG_4623 RE SEV NPDR_frame_1228.png,826.0,1029.0,415.0,416.0
2024_02_12_14_58_IMG_4624 LE MOD NPDR_frame_1641.png,931.0,956.0,424.0,431.0
2024_02_14_14_40_IMG_4648 RE  SEV NPDR WITH DME_frame_1795.png,1006.0,935.0,530.0,506.0
2024_02_14_14_44_IMG_4650 LE SEV NPDR_frame_2689.png,991.0,1027.0,530.0,504.0
2024_02_15_14_08_IMG_4657 LE MILD NPDR_frame_1350.png,888.0,1038.0,363.0,358.0
2024_02_15_14_19_IMG_4658 RE MILD NPDR_frame_1117.png,793.0,928.0,414.0,422.0
2024_02_15_14_20_IMG_4659 LE MILD NPDR_frame_906.png,843.0,1031.0,407.0,413.0
2024_02_15_14_57_IMG_4662 LE MILD NPDR_frame_1232.png,733.0,860.0,491.0,476.0
2024_02_16_10_50_IMG_4665 RE PDR STABLE_frame_2128.png,969.0,1091.0,495.0,497.0
2024_02_16_10_53_IMG_4666 LE MOD NPDR_frame_3234.png,1038.0,1031.0,493.0,478.0
2024_02_16_13_31_IMG_4671 re mod npdr_frame_1219.png,969.0,1048.0,420.0,411.0
2024_02_16_13_33_IMG_4672 LE SEV NPDR WITH DME_frame_1884.png,877.0,991.0,427.0,406.0
2024_02_19_11_46_IMG_4678 LE PDR_frame_1927.png,922.0,984.0,412.0,403.0
2024_02_19_12_31_IMG_4679 RE MOD NPDR_frame_2433.png,993.0,993.0,538.0,513.0
2024_02_19_13_36_IMG_4681 RE SEV NPDR_frame_2673.png,978.0,961.0,472.0,468.0
2024_02_19_13_40_IMG_4682 LE SEV NPDR WITH DME_frame_2166.png,903.0,961.0,471.0,476.0
2024_02_23_14_03_IMG_4725 LE MOD NPDR_frame_575.png,888.0,986.0,441.0,448.0
2024_02_26_15_30_IMG_4731 RE PDR WITH DME_frame_2333.png,883.0,958.0,523.0,520.0
2024_02_26_15_33_IMG_4732 LE SEV NPDR_frame_2633.png,800.0,971.0,516.0,523.0
2024_03_07_15_21_IMG_4759 RE MILD NPDR_frame_2564.png,918.0,965.0,411.0,418.0
2024_03_07_15_24_IMG_4760 LE MOD NPDR_frame_2054.png,845.0,963.0,414.0,412.0
2024_03_10_11_45_IMG_4785 LE MOD NPDR WIHT DME_frame_2348.png,907.0,1018.0,401.0,411.0
2024_03_10_12_25_IMG_4794 LE SEV NPDR_frame_866.png,783.0,1016.0,401.0,398.0
2024_03_19_14_40_IMG_3017 LE MILD NPDR_frame_966.png,916.0,982.0,401.0,403.0
2024_03_21_12_16_IMG_3042 RE MOD NPDR_frame_994.png,894.0,1048.0,510.0,505.0
2024_03_21_12_30_IMG_3044 RE SEV NPDR WITH CIDME_frame_2551.png,935.0,1001.0,456.0,463.0
2024_03_21_12_33_IMG_3045 LE SEV NPDR WITH DME_frame_2620.png,920.0,984.0,461.0,459.0
2024_03_21_12_55_IMG_3048 RE MILD NPDR_frame_1253.png,937.0,1016.0,499.0,506.0
2024_03_21_12_57_IMG_3049 LE MILD NPDR_frame_1172.png,886.0,1070.0,520.0,515.0
2024_03_21_13_08_IMG_3050 RE MOD NPDR WITH DME_frame_893.png,933.0,1012.0,428.0,435.0
2024_03_21_14_55_IMG_3053 LE SEV NPDR_frame_1795.png,841.0,1010.0,458.0,461.0
2024_03_25_11_51_IMG_3058 LE SEV NPDR_frame_2123.png,860.0,976.0,506.0,500.0
2024_03_25_15_30_IMG_3070 LE MILD NPDR_frame_1460.png,943.0,1055.0,485.0,482.0
2024_03_28_14_08_IMG_4839 RE PDR_frame_1305.png,935.0,1168.0,501.0,499.0
2024_03_28_14_32_IMG_4842 RE MOD NPDR_frame_1388.png,918.0,1111.0,437.0,446.0
2024_03_30_11_37_IMG_4851 RE MILD NPDR_frame_1082.png,941.0,1006.0,530.0,530.0
2024_03_30_12_19_IMG_4854 LE PDR_frame_1605.png,744.0,907.0,553.0,549.0
2024_04_01_11_52_IMG_4866 RE MOD NPDR LASERED_frame_1151.png,909.0,967.0,411.0,422.0
2024_04_01_12_12_IMG_4868 RE SEV NPDR WITH CIDME_frame_2970.png,843.0,965.0,561.0,562.0
2024_04_01_12_16_IMG_4869 SEV NPDR WITH DME_frame_1817.png,813.0,1068.0,559.0,543.0
2024_04_01_12_56_IMG_4872 RE MOD NPDR WITH FVD_frame_1994.png,742.0,841.0,487.0,489.0
2024_04_01_12_59_IMG_4873 LE MOD NPDR_frame_3086.png,864.0,952.0,478.0,478.0
2024_04_02_11_54_IMG_4881 LE MOD NPDR_frame_1079.png,937.0,1076.0,439.0,433.0
2024_04_02_12_48_IMG_4883 RE SEV NPDR WITH DME_frame_1617.png,933.0,1072.0,476.0,474.0
2024_04_03_11_51_IMG_4888 RE MOD NPDR_frame_817.png,712.0,913.0,499.0,499.0
2024_04_03_11_53_IMG_4889 LE MOD NPDR_frame_1399.png,817.0,984.0,497.0,491.0
2024_04_04_11_36_IMG_4896 RE SEV NPDR_frame_1385.png,961.0,1051.0,482.0,493.0
2024_04_04_11_38_IMG_4897 LE SEV NPDR_frame_1839.png,911.0,1055.0,491.0,487.0
